,Austria,Brazil,Chile,China,Colombia,France,Germany,Hong Kong,India,Israel,Italy,Japan,Mexico,Namibia,Netherlands,Russia,Samoa,Saudi Arabia,Singapore,Slovenia,South Korea,Spain,Taiwan,Turkey,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,median_commodity_price,median_petroleum_price
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,1.0,,,-0.01865058809178087,0.24631133058011287,0.32751940275934605,0.25980366992838,0.27986122525478235,0.417767431580687,-0.1850519938947811,,-0.6520966331844535,,0.28314290167768025,,,,,0.18575560549558287,0.04985844673968589,-0.9283841506859971,,,,,-0.15799573041456463,-0.46543735275651926,-0.28490874441153474
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,-0.01865058809178087,,,1.0,-0.3519475459011536,-0.3527505980918393,0.10495593717238183,-0.5633557653031618,-0.5570476033805343,0.1501760394230375,,0.2031544146484296,,-0.35503462923432605,,,,,0.08699036825509959,-0.695032586398578,0.12090018114367598,,,,,0.22535062392928226,0.23348872906655926,0.36198044807618834
Hong Kong,,,,0.24631133058011287,,,-0.3519475459011536,1.0,0.08033009230287208,0.4750141723064327,0.7364926976568454,0.6624325798954516,-0.40369890044088946,,-0.4659329672324046,,0.9983541610125396,,,,,-0.2620934868649281,0.30520076618959335,-0.5267141511797755,,,,,-0.36497025755120066,-0.3737679633934643,-0.46131624358342876
India,,,,0.32751940275934605,,,-0.3527505980918393,0.08033009230287208,1.0,-0.10788087508441944,0.1996342424526437,0.3486974868269998,0.03812628220242427,,-0.1544219290073627,,0.0877359970140581,,,,,0.44097475821608245,0.17550303803434872,-0.29991376395196206,,,,,0.05567885946364,-0.09190940824633882,-0.04234596026147815
Israel,,,,0.25980366992838,,,0.10495593717238183,0.4750141723064327,-0.10788087508441944,1.0,0.22551680987677714,0.1814307443873508,-0.30140611592512523,,-0.32993982194497273,,0.4812933250646994,,,,,-0.20559497333074903,-0.0866779467920299,-0.5312483758622075,,,,,-0.24739541938875567,-0.22870852574932624,-0.3192075077208428
Italy,,,,0.27986122525478235,,,-0.5633557653031618,0.7364926976568454,0.1996342424526437,0.22551680987677714,1.0,0.9126582893108646,-0.5308558552610394,,-0.5717904902102271,,0.7500931716096889,,,,,-0.3154063474270818,0.5826635865383513,-0.47033423546053904,,,,,-0.5356625903028445,-0.4994774993805967,-0.574261506773657
Japan,,,,0.417767431580687,,,-0.5570476033805343,0.6624325798954516,0.3486974868269998,0.1814307443873508,0.9126582893108646,1.0,-0.2768050948276776,,-0.48397626068557886,,0.6730127332909059,,,,,0.02885335817423779,0.4231950764297994,-0.5763853589131267,,,,,-0.2635555585165476,-0.45219755220416646,-0.4043836186612245
Mexico,,,,-0.1850519938947811,,,0.1501760394230375,-0.40369890044088946,0.03812628220242427,-0.30140611592512523,-0.5308558552610394,-0.2768050948276776,1.0,,0.6540135982777919,,-0.4282876788659841,,,,,0.5305090015219783,-0.5279396611524297,0.27519690378774236,,,,,0.8733777724053787,0.5403299923926679,0.6597775519347311
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,-0.6520966331844535,,,0.2031544146484296,-0.4659329672324046,-0.1544219290073627,-0.32993982194497273,-0.5717904902102271,-0.48397626068557886,0.6540135982777919,,1.0,,-0.5106179285783966,,,,,0.33423821281769533,-0.5420549278952754,0.6771781334893145,,,,,0.6195925960275096,0.5482870538037181,0.695805541584654
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,0.28314290167768025,,,-0.35503462923432605,0.9983541610125396,0.0877359970140581,0.4812933250646994,0.7500931716096889,0.6730127332909059,-0.4282876788659841,,-0.5106179285783966,,1.0,,,,,-0.2759117499495118,0.33015036149776106,-0.556600737329443,,,,,-0.39042913600261675,-0.3992856277898936,-0.4907561347069067
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,0.18575560549558287,,,0.08699036825509959,-0.2620934868649281,0.44097475821608245,-0.20559497333074903,-0.3154063474270818,0.02885335817423779,0.5305090015219783,,0.33423821281769533,,-0.2759117499495118,,,,,1.0,-0.3741312287187984,-0.09059448535008022,,,,,0.6031069252994941,0.18420708231461547,0.5521598675073467
Taiwan,,,,0.04985844673968589,,,-0.695032586398578,0.30520076618959335,0.17550303803434872,-0.0866779467920299,0.5826635865383513,0.4231950764297994,-0.5279396611524297,,-0.5420549278952754,,0.33015036149776106,,,,,-0.3741312287187984,1.0,-0.10795743533228855,,,,,-0.5190787539640087,-0.3840026154346784,-0.5533058657634291
Turkey,,,,-0.9283841506859971,,,0.12090018114367598,-0.5267141511797755,-0.29991376395196206,-0.5312483758622075,-0.47033423546053904,-0.5763853589131267,0.27519690378774236,,0.6771781334893145,,-0.556600737329443,,,,,-0.09059448535008022,-0.10795743533228855,1.0,,,,,0.2333711299683437,0.5155550333795799,0.386980747658763
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,-0.15799573041456463,,,0.22535062392928226,-0.36497025755120066,0.05567885946364,-0.24739541938875567,-0.5356625903028445,-0.2635555585165476,0.8733777724053787,,0.6195925960275096,,-0.39042913600261675,,,,,0.6031069252994941,-0.5190787539640087,0.2333711299683437,,,,,1.0,0.5784125093113672,0.6625570408131796
median_commodity_price,,,,-0.46543735275651926,,,0.23348872906655926,-0.3737679633934643,-0.09190940824633882,-0.22870852574932624,-0.4994774993805967,-0.45219755220416646,0.5403299923926679,,0.5482870538037181,,-0.3992856277898936,,,,,0.18420708231461547,-0.3840026154346784,0.5155550333795799,,,,,0.5784125093113672,1.0,0.7131096548834095
median_petroleum_price,,,,-0.28490874441153474,,,0.36198044807618834,-0.46131624358342876,-0.04234596026147815,-0.3192075077208428,-0.574261506773657,-0.4043836186612245,0.6597775519347311,,0.695805541584654,,-0.4907561347069067,,,,,0.5521598675073467,-0.5533058657634291,0.386980747658763,,,,,0.6625570408131796,0.7131096548834095,1.0
